Sustantivos,sustantivos
Súbdito,subdito
Submarino,submarino
Subsuelo,subsuelo
Sulfato,sulfato
Sulfuro,sulfuro
Sultán,sultan
Suspenso,suspenso
Suscripción,suscripcion
Suspirar,suspirar
Taza,taza
Teléfono,telefono
Tijeras,tijeras
Túnel,tunel
Turismo,turismo
Turista,turista
Tigre,tigre
Tiburón,tiburon
Tenedor,tenedor
Técnico,tecnico
Tambor,tambor
Tecnología,tecnologia
Tornado,tornado
Tarta,tarta
Tomar,tomar
Taco,taco
Tortilla,tortilla
Tostada,tostada
Tortuga,tortuga
Tomate,tomate
Topo,topo
Tirar,tirar
Títere,titere
Telecomunicaciones,telecomunicaciones
Transporte,transporte
Terrestre,terrestre
Terremoto,terremoto
Tutor,tutor
Tornillo,tornillo
Televisión,television
Uva,uva
Uno,uno
Uña,uña
Uniforme,uniforme
Último,ultimo
Unicornio,unicornio
Ungüento,ungüento
Úlcera,ulcera
Ubicación,ubicacion
Urna,urna
Umbral,umbral
Ultravioleta,ultravioleta
Utilidad,utilidad
Utensilio,utensilio
Universo,universo
Universidad,universidad
Unidad,unidad
Unión,union
Urbanismo,urbanismo
Urgencia,urgencia
Usted,usted
Usufructo,usufructo
Usurero,usurero
Ubicar,ubicar
Unificar,unificar
Utilizar,utilizar
Unir,unir
Usar,usar
Untar,untar
Usurpar,usurpar
Único,unico
Universal,universal
Unánime,unanime
Útil,util
Vaca,vaca
Vacuna,vacuna
Vino,vino
Viñedo,viñedo
Vacante,vacante
Viajar,viajar
Video,video
Vela,vela
Verde,verde
Verano,verano
Viento,viento
Venta,venta
Ventaja,ventaja
Vender,vender
Vacío,vacio
Ventana,ventana
Volar,volar
Volcán,volcan
Vestido,vestido
Vidrio,vidrio
Vicio,vicio
Ventilador,ventilador
Verduras,verduras
Vaso,vaso
Violín,violin
Valle,valle
Villa,villa
Voleibol,voleibol
Vehículo,vehiculo
Vikingo,vikingo
Voluntario,voluntario
Voluntariado,voluntariado
Volumen,volumen
Valor,valor
Velero,velero
Vocación,vocacion
Viudo,viudo
Vector,vector
Vertical,vertical
Vértice,vertice
Vaselina,vaselina
Virus,virus
Vasectomía,vasectomia
Várices,varices
Viruela,viruela
Vodka,vodka
Voltaje,voltaje
Violonchelo,violonchelo
Virtual,virtual
Vanidad,vanidad
Venezuela,venezuela
